fromNode	toNode	weight	direction	fromAltName	toAltName
TNNT3	MYH1	0.00630157067050841	undirected	M.448	M.277
TNNT3	MYH2	0.000397486567130789	undirected	M.448	M.157
TNNT3	TNNT1	1.0833904884322e-08	undirected	M.448	M.232
TNNT3	MYL1	0.000759865398378912	undirected	M.448	M.372
TNNT3	MYBL2	0.0014180223560547	undirected	M.448	M.306
TNNT3	TNNC2	0.0198564201387775	undirected	M.448	M.448
TNNT3	MYL3	2.27257102025646e-10	undirected	M.448	M.436
TNNT3	TNNC1	1.03642216475741e-07	undirected	M.448	M.386
TNNT3	TMOD1	0.0244770261924723	undirected	M.448	M.127
ATP2A2	MYL2	0.00688929343722144	undirected	M.36	M.33
ATP2A2	MYH7	0.00898638689158504	undirected	M.36	M.33
ATP2A2	TPM1	1.06834963098379e-09	undirected	M.36	M.448
ATP2A2	ATP2A1	1.28573221847006e-07	undirected	M.36	M.239
ATP2A2	MYH1	1.36811210915688e-07	undirected	M.36	M.277
ATP2A2	MYH2	6.35696105055761e-05	undirected	M.36	M.157
ATP2A2	TNNT1	0.0137769825440629	undirected	M.36	M.232
ATP2A2	MYL1	1.14430796327447e-06	undirected	M.36	M.372
ATP2A2	MYBL2	7.7167118349708e-06	undirected	M.36	M.306
ATP2A2	TNNC2	2.88047064644914e-07	undirected	M.36	M.448
ATP2A2	MYL3	0.0130917388247347	undirected	M.36	M.436
ATP2A2	TNNC1	0.0121041805382679	undirected	M.36	M.386
ATP2A2	TMOD1	3.36133095135693e-07	undirected	M.36	M.127
MYL2	MYH7	0.0711160066704952	undirected	M.33	M.33
MYL2	TPM1	5.42412925685909e-09	undirected	M.33	M.448
MYL2	ATP2A1	2.55901647228107e-06	undirected	M.33	M.239
MYL2	MYH1	0.000133572222673073	undirected	M.33	M.277
MYL2	MYH2	1.09946205802958e-05	undirected	M.33	M.157
MYL2	TNNT1	0.0283613484973019	undirected	M.33	M.232
MYL2	MYL1	0.000354372862140795	undirected	M.33	M.372
MYL2	MYBL2	3.08344516586345e-09	undirected	M.33	M.306
MYL2	TNNC2	6.2259932335218e-06	undirected	M.33	M.448
MYL2	MYL3	0.0350915892959197	undirected	M.33	M.436
MYL2	TNNC1	0.00664387295491464	undirected	M.33	M.386
MYL2	TMOD1	1.88408177170807e-07	undirected	M.33	M.127
MYH7	TPM1	2.62821664431812e-09	undirected	M.33	M.448
MYH7	ATP2A1	9.72679322641667e-08	undirected	M.33	M.239
MYH7	MYH1	1.73851973156447e-05	undirected	M.33	M.277
MYH7	MYH2	5.53229634046026e-05	undirected	M.33	M.157
MYH7	TNNT1	0.0452508391727666	undirected	M.33	M.232
MYH7	MYL1	6.08789136935517e-05	undirected	M.33	M.372
MYH7	MYBL2	1.51594770292363e-07	undirected	M.33	M.306
MYH7	TNNC2	8.40584720607218e-07	undirected	M.33	M.448
MYH7	MYL3	0.0590292843343743	undirected	M.33	M.436
MYH7	TNNC1	0.00791514222850642	undirected	M.33	M.386
MYH7	TMOD1	1.58258173232895e-09	undirected	M.33	M.127
TPM1	ATP2A1	0.0221768250358942	undirected	M.448	M.239
TPM1	MYH1	0.00356801011102081	undirected	M.448	M.277
TPM1	MYH2	0.000323615779075137	undirected	M.448	M.157
TPM1	TNNT1	1.51621781796507e-09	undirected	M.448	M.232
TPM1	MYL1	0.00121260488099562	undirected	M.448	M.372
TPM1	MYBL2	0.00276003909907452	undirected	M.448	M.306
TPM1	TNNC2	0.0131474292863298	undirected	M.448	M.448
TPM1	MYL3	3.9461833800658e-09	undirected	M.448	M.436
TPM1	TNNC1	1.24004685075896e-07	undirected	M.448	M.386
TPM1	TMOD1	0.00716129084616013	undirected	M.448	M.127
ATP2A1	MYH1	0.0623985475596693	undirected	M.239	M.277
ATP2A1	MYH2	2.20153425416481e-05	undirected	M.239	M.157
ATP2A1	TNNT1	1.04458933725127e-07	undirected	M.239	M.232
ATP2A1	MYL1	0.00484403620685048	undirected	M.239	M.372
ATP2A1	MYBL2	7.72292693856924e-05	undirected	M.239	M.306
ATP2A1	TNNC2	0.0472042482280152	undirected	M.239	M.448
ATP2A1	MYL3	2.29176320143409e-08	undirected	M.239	M.436
ATP2A1	TNNC1	1.77185151084558e-06	undirected	M.239	M.386
ATP2A1	TMOD1	0.070124735719459	undirected	M.239	M.127
MYH1	MYH2	7.01768850142059e-07	undirected	M.277	M.157
MYH1	TNNT1	7.36601328155118e-06	undirected	M.277	M.232
MYH1	MYL1	0.00149974873674596	undirected	M.277	M.372
MYH1	MYBL2	6.48195932817508e-06	undirected	M.277	M.306
MYH1	TNNC2	0.0149094748366638	undirected	M.277	M.448
MYH1	MYL3	3.96162492610763e-06	undirected	M.277	M.436
MYH1	TNNC1	1.59903577381382e-05	undirected	M.277	M.386
MYH1	TMOD1	0.00764832115726422	undirected	M.277	M.127
MYH2	TNNT1	0.000215545682936025	undirected	M.157	M.232
MYH2	MYL1	1.13536580254037e-05	undirected	M.157	M.372
MYH2	MYBL2	7.6920187433327e-05	undirected	M.157	M.306
MYH2	TNNC2	6.69423014454384e-06	undirected	M.157	M.448
MYH2	MYL3	5.44408416891518e-06	undirected	M.157	M.436
MYH2	TNNC1	2.20006301747677e-05	undirected	M.157	M.386
MYH2	TMOD1	0.000398239439188597	undirected	M.157	M.127
TNNT1	MYL1	2.88613997256881e-07	undirected	M.232	M.372
TNNT1	MYBL2	3.2299275531944e-07	undirected	M.232	M.306
TNNT1	TNNC2	5.13224000597834e-06	undirected	M.232	M.448
TNNT1	MYL3	0.0529285881478891	undirected	M.232	M.436
TNNT1	TNNC1	0.0365414161741007	undirected	M.232	M.386
TNNT1	TMOD1	3.92574088681208e-07	undirected	M.232	M.127
MYL1	MYBL2	6.4011908779138e-05	undirected	M.372	M.306
MYL1	TNNC2	0.000394278034527629	undirected	M.372	M.448
MYL1	MYL3	4.52838199493932e-07	undirected	M.372	M.436
MYL1	TNNC1	2.95847042419695e-08	undirected	M.372	M.386
MYL1	TMOD1	0.00167432514557597	undirected	M.372	M.127
MYBL2	TNNC2	8.71873216609087e-05	undirected	M.306	M.448
MYBL2	MYL3	9.5520387864978e-06	undirected	M.306	M.436
MYBL2	TNNC1	1.27792245474545e-06	undirected	M.306	M.386
MYBL2	TMOD1	0.000215449117149547	undirected	M.306	M.127
TNNC2	MYL3	3.15384729254742e-06	undirected	M.448	M.436
TNNC2	TNNC1	0.000204004863937568	undirected	M.448	M.386
TNNC2	TMOD1	0.00839132478206595	undirected	M.448	M.127
MYL3	TNNC1	0.0220575694845078	undirected	M.436	M.386
MYL3	TMOD1	3.91419452405728e-10	undirected	M.436	M.127
TNNC1	TMOD1	3.1773389208567e-07	undirected	M.386	M.127
