fromNode	toNode	weight	direction	fromAltName	toAltName
NDUFS2	NDUFS8	0.0195973765751617	undirected	M.252	M.252
NDUFS2	TMEM126B	0.0025184736528846	undirected	M.252	M.389
NDUFS2	NDUFC2	0.00079959277490893	undirected	M.252	M.364
NDUFS2	ME3	1.90449492136757e-05	undirected	M.252	M.427
NDUFS2	NDUFA9	0.00962250162092382	undirected	M.252	M.367
NDUFS2	COX14	0.0010456816800265	undirected	M.252	M.366
NDUFS2	COQ10A	0.00317388228834425	undirected	M.252	M.46
NDUFS2	CS	0.00213107691341607	undirected	M.252	M.342
NDUFS2	NDUFA12	0.00699158602432204	undirected	M.252	M.252
NDUFS2	SUCLA2	0.00282207081041586	undirected	M.252	M.186
NDUFS2	NUBPL	0.0172725122693034	undirected	M.252	M.263
NDUFS2	DLST	0.0122330685521125	undirected	M.252	M.33
NDUFS2	NDUFB1	0.000172214242548985	undirected	M.252	M.132
NDUFS2	IDH3A	0.00305481360351445	undirected	M.252	M.385
NDUFS2	NDUFAF1	0.000813768186182173	undirected	M.252	M.380
NDUFS2	COX5A	0.0120815654542499	undirected	M.252	M.252
NDUFS2	ETFA	0.0230999332505418	undirected	M.252	M.339
NDUFS2	IDH2	0.0278166346079939	undirected	M.252	M.232
NDUFS2	FAHD1	0.00358267206187679	undirected	M.252	M.63
NDUFS2	NDUFB10	0.00060857860241692	undirected	M.252	M.366
NDUFS2	UQCRC2	0.012767808661863	undirected	M.252	M.346
NDUFS2	COX4I1	0.00864875662011433	undirected	M.252	M.252
NDUFS2	TRAP1	0.00261074065006917	undirected	M.252	M.296
NDUFS2	NDUFAB1	0.00186921737551748	undirected	M.252	M.266
NDUFS2	TACO1	0.00737519226548089	undirected	M.252	M.58
NDUFS2	SCO1	0.00026373569406124	undirected	M.252	M.169
NDUFS2	COX11	0.000434304370676042	undirected	M.252	M.119
NDUFS2	ME2	0.00185563801790833	undirected	M.252	M.367
NDUFS2	NDUFS7	0.00193029483277274	undirected	M.252	M.153
NDUFS2	COX6B1	0.00270237815984331	undirected	M.252	M.132
NDUFS2	ECSIT	0.00378671544900844	undirected	M.252	M.162
NDUFS2	NDUFB7	0.00207004012420409	undirected	M.252	M.18
NDUFS2	UQCRFS1	0.0139276026826365	undirected	M.252	M.27
NDUFS2	ETFB	0.00569272937475096	undirected	M.252	M.299
NDUFS2	NDUFAF7	0.00532490052076673	undirected	M.252	M.116
NDUFS2	COX5B	0.0130436472807343	undirected	M.252	M.122
NDUFS2	COQ10B	0.000125529292493209	undirected	M.252	M.157
NDUFS2	NDUFB3	0.0010327282090552	undirected	M.252	M.220
NDUFS2	COX7A2L	0.00010369477359351	undirected	M.252	M.67
NDUFS2	LRPPRC	0.00772120663192943	undirected	M.252	M.125
NDUFS2	SUCLG1	0.0092777786040793	undirected	M.252	M.63
