Power,MinModulesize,deepSplit,CutHeight,NoModules,Min,1st.Qu.,Median,Mean,3rd.Qu.,Max
10,30,0,0.15,41,137,247,343,444.3,458,2213
10,30,0,0.1,41,137,247,343,444.3,458,2213
10,30,0,0.25,38,137,251.8,345,479.4,462.8,3914
10,30,0,0.2,41,137,247,343,444.3,458,2213
14,15,0,0.25,22,77,171.8,265,828,453.2,7016
18,20,2,0.3,17,48,70,137,1072,353,8842
18,30,4,0.3,26,43,63,110,700.7,360.8,7283
22,30,2,0.1,14,134,171.5,250,1301.2,410,13525
6,20,4,0.3,182,20,27,35,100.1,53,4573
10,30,0,0.3,24,137,241.5,537.5,759,827.5,5892
14,15,0,0.3,18,77,167.2,271,1012.1,649.2,7016
18,15,0,0.15,10,67,114.2,169.5,1821.7,360,15472
18,15,0,0.1,10,67,114.2,169.5,1821.7,360,15472
18,20,4,0.1,250,21,35,46,72.87,58,6072
22,15,2,0.3,22,28,48.75,100,828.04,257.5,10782
22,15,4,0.3,37,16,27,47,492.4,118,8900
22,30,2,0.15,11,134,167,254,1656.1,757.5,13525
6,15,4,0.1,569,15,21,28,32.02,38,215
10,15,4,0.1,619,15,20,26,29.43,34,187
18,15,0,0.2,9,67,112,159,2024,417,15472
18,30,2,0.25,12,120,239.8,399,1518.1,1110,10353
18,30,2,0.3,12,120,239.8,399,1518.1,1110,10353
22,20,2,0.25,16,37,73,153.5,1138.6,413.5,12416
22,30,4,0.3,12,50,93.5,191.5,1518.1,1035.5,10991
8,15,4,0.1,605,15,20,26,30.11,36,194
18,15,0,0.25,8,67,102.2,269,2277.1,768.8,15472
18,15,0,0.3,8,67,102.2,269,2277.1,768.8,15472
22,15,0,0.15,8,28,89.75,214,2277.12,341.5,16830
22,15,0,0.1,9,28,107,230,2024,266,16830
22,15,4,0.1,270,16,25,31,67.47,41,8900
22,20,0,0.15,4,108,158.2,355.5,4554.2,4751.5,17398
22,20,0,0.1,4,108,158.2,355.5,4554.2,4751.5,17398
22,20,4,0.3,15,36,56.5,153,1214.5,662,10189
22,30,2,0.25,9,134,230,318,2024,1515,13525
22,30,2,0.2,9,134,230,318,2024,1515,13525
14,15,4,0.1,554,15,23,29,32.88,37,817
14,30,0,0.15,5,100,1296,2444,3643,4053,10324
14,30,0,0.1,6,100,1374,2026,3036,2444,10324
14,30,0,0.25,5,100,1296,2444,3643,4053,10324
14,30,0,0.2,5,100,1296,2444,3643,4053,10324
14,30,0,0.3,5,100,1296,2444,3643,4053,10324
18,15,4,0.1,388,16,25,31,46.95,40,4850
18,20,0,0.15,3,119,352,585,6072,9049,17513
18,20,0,0.1,3,119,352,585,6072,9049,17513
18,20,0,0.25,3,119,352,585,6072,9049,17513
18,20,0,0.2,3,119,352,585,6072,9049,17513
18,20,0,0.3,3,119,352,585,6072,9049,17513
22,20,2,0.3,11,37,104,292,1656,1115,12416
22,30,2,0.3,6,167,628.8,1158.5,3036.2,1606.5,13525
14,20,0,0.15,12,94,283.8,620,1518.1,983,8701
14,20,0,0.1,13,94,290,655,1401,1031,8701
14,20,0,0.25,11,94,277.5,585,1656.1,1478,8701
14,20,0,0.2,11,94,277.5,585,1656.1,1478,8701
14,20,0,0.3,8,94,551.2,988,2277.1,2895.2,8701
18,30,0,0.15,2,585,4847,9108,9108,13370,17632
18,30,0,0.1,2,585,4847,9108,9108,13370,17632
18,30,0,0.25,2,585,4847,9108,9108,13370,17632
18,30,0,0.2,2,585,4847,9108,9108,13370,17632
18,30,0,0.3,2,585,4847,9108,9108,13370,17632
22,15,0,0.25,7,28,146.5,280,2602.4,393,16830
22,15,0,0.2,7,28,146.5,280,2602.4,393,16830
22,15,0,0.3,6,28,98.5,285,3036.2,635.8,16830
22,20,0,0.25,3,283,409.5,536,6072.3,8967,17398
22,20,0,0.2,3,283,409.5,536,6072.3,8967,17398
22,20,0,0.3,3,283,409.5,536,6072.3,8967,17398
22,30,0,0.15,2,572,4840,9108,9108,13377,17645
22,30,0,0.1,2,572,4840,9108,9108,13377,17645
22,30,0,0.25,2,572,4840,9108,9108,13377,17645
22,30,0,0.2,2,572,4840,9108,9108,13377,17645
22,30,0,0.3,2,572,4840,9108,9108,13377,17645
